name,major
user976,Computer Science
user977,Microbiology
user977,Cell Sciences
user978,Chemical and Physical Biology
user979,Computer Engineering
user980,Mechanical Engineering
user981,Engineering
user982,Business
user983,N/A
user984,Computational Biology
user984,Computer Science
user985,Computer Science
user985,Mathematics
user985,Economics
user986,Physics
user986,Computer Science
user987,Computer Science
user987,Mathematics
user988,Economics
user989,Neuroscience
user990,Stage Management
user990,Music Industry
user991,Computer Science
user992,Computer Science
user993,Electrical & Computer Engineering
user994,Mechanical Engineering
user995,Molecular Cellular and Developmental Biology
user995,Marine Biology
user996,Political Science
user996,Rhetoric
user997,Computer Science
user998,N/A
user999,Cognitive Science
user1000,Electrical and Electronics Engineering
user1000,Cybersecurity
user1001,Business
user1002,Marketing
user1003,Computer Science
user1003,Management Science & Engineering
user1004,Architectural Studies
user1005,Electrical and Computer Engineering
user1006,Political Economy
user1007,Undeclared Business
user1008,Computer Science
user1009,N/A
user1010,Economics
user1010,Mathematics
user1011,Chemical Engineering
user1011,Electrical Engineering
user1012,Computer and Systems Engineering
user1012,Design
user1012,Innovation
user1012,and Society
user1012,Physics
user1013,Mathematics
user1013,Computer Science
user1014,Computer Engineering
user1015,Data Science
user1015,Computer Science
user1016,Biological Sciences
user1016,Neurobiology
user1016,Chemistry
user1016,Psychology
user1017,English
user1017,Black Studies
user1018,Rotman Commerce
user1019,Astrophysics
user1019,Astronomy
user1019,Space Sciences
user1019,Instrumentation
user1020,N/A
user1021,Environmental Studies
user1021,Economics
user1021,Politics
user1021,Government
user1021,International Relations
user1022,English
user1022,Black Studies
user1022,Pre-Law
user1023,Electrical and Electronic Engineering
user1024,Acting
user1025,Astrophysics
user1026,Applied Mathematics
user1026,Linguistics
user1027,Physics
user1027,Computer Science
user1028,Robotics
user1029,Pre-Law
user1030,Computer Science
user1031,N/A
user1032,N/A
user1033,Genetics
user1033,Data Science
user1034,Economics
user1034,Math
user1035,Biology
user1035,Music
user1036,Mechanical Engineering
user1036,Comedy
user1037,Computer Science
user1038,Animal Science
user1039,Chemistry
user1039,Computer Science
user1040,Biological Sciences
user1040,Entomology
user1041,Biology
user1042,Electrical and Computer Engineering
user1043,N/A
user1044,Computer Science
user1045,N/A
user1046,Electrical and Computer Engineering
user1046,Cognitive Science
user1047,N/A
user1048,Computer Information Systems
user1049,N/A
user1050,Human Biology
user1051,N/A
user1052,Biophysics
user1053,Mechatronics Engineering
user1054,Engineering
user1054,Aerospace
user1055,N/A
user1056,N/A
user1057,N/A
